"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"104",2017,11,2,0,1,0,1,9,2,3,9,9,1
"105",2014,11,2,0,1,1,2,9,2,1,1,0,1
"106",2014,8,1,0,0,1,3,0,2,1,0,1,1
"107",2016,5,1,0,2,1,4,0,2,2,0,0,1
"108",2013,12,1,0,1,0,4,0,2,1,1,1,2
"109",2016,7,2,1,1,0,3,0,2,2,0,0,8
"110",2017,12,1,1,1,1,3,9,2,1,1,9,2
"111",2014,7,5,0,0,9,3,9,9,1,0,0,1
"112",2015,13,1,0,9,2,3,1,2,1,0,9,1
"113",2015,5,1,1,1,4,4,0,1,9,1,0,1
"114",2016,6,1,0,9,2,2,9,2,4,0,9,1
"115",2016,8,1,0,1,0,1,0,2,4,1,1,1
"116",2016,10,5,1,1,1,2,0,2,3,0,0,3
"117",2014,5,1,1,9,1,2,0,2,2,0,9,1
"118",2017,9,1,0,1,1,3,9,2,2,0,0,2
"119",2014,8,3,0,1,3,2,0,2,9,1,1,1
"120",2015,7,9,0,0,2,3,0,9,9,1,0,1
"121",2013,9,3,1,9,3,9,1,2,9,0,0,1
"122",2015,5,1,0,9,1,2,0,1,3,9,0,2
"123",2015,5,1,1,2,0,3,0,1,3,0,9,1
"124",2015,5,1,1,9,3,2,0,2,2,0,0,4
"125",2013,7,1,0,9,9,1,0,2,9,1,1,2
"126",2013,7,1,1,9,1,3,0,2,1,1,9,3
"127",2015,10,2,1,0,4,2,9,2,9,1,9,1
"128",2016,12,2,1,2,1,1,9,2,4,0,9,1
"129",2014,5,1,0,9,2,3,0,3,9,1,0,2
"130",2014,4,1,0,9,3,3,0,2,1,1,1,1
"131",2015,9,1,0,1,4,4,1,2,2,0,0,1
"132",2015,11,2,1,9,9,1,0,2,9,0,0,3
"133",2015,8,1,1,9,0,3,0,2,9,1,9,1
"134",2015,10,1,1,1,1,2,0,2,1,0,0,44
"135",2014,10,3,0,9,2,1,9,2,1,1,0,1
"136",2016,7,5,1,1,1,2,0,3,2,0,0,3
"137",2016,6,1,0,1,9,2,0,1,1,0,9,1
"138",2014,5,1,0,9,2,1,0,1,3,1,1,1
"139",2014,10,1,0,2,3,9,9,2,1,1,9,1
"140",2013,9,3,0,0,3,2,0,2,2,1,0,1
"141",2014,9,1,0,0,2,3,9,2,1,9,9,3
"142",2014,9,2,0,1,9,4,9,2,1,1,9,1
"143",2013,11,1,0,0,4,1,0,2,4,0,0,5
"144",2013,9,3,0,9,3,9,9,2,1,0,0,1
"145",2014,10,4,0,1,2,3,0,2,1,1,1,1
"146",2017,10,2,0,0,0,2,0,2,4,1,1,6
"147",2017,10,1,9,9,2,3,0,2,3,0,9,1
"148",2014,11,1,1,9,0,3,0,2,3,0,0,8
"149",2017,4,1,1,9,3,3,0,9,3,0,9,1
"150",2017,7,1,1,1,2,3,0,2,1,0,0,29
"151",2014,3,1,0,9,4,2,0,1,3,1,1,2
"152",2013,7,1,1,0,3,2,0,2,1,1,0,2
"153",2016,9,9,1,9,0,2,0,2,9,0,9,1
"154",2016,8,1,0,9,3,2,9,2,9,1,9,1
"155",2015,8,1,0,0,4,3,0,2,3,1,1,1
"156",2014,10,1,1,9,9,1,0,2,2,0,0,17
"157",2016,4,9,0,1,3,2,0,1,2,1,1,1
"158",2013,12,1,0,1,1,2,0,2,2,1,1,11
"159",2015,7,1,1,1,4,2,0,1,4,0,0,1
"160",2014,8,1,0,9,1,4,1,2,9,0,9,1
"161",2014,6,1,0,0,4,4,1,2,1,0,0,4
"162",2013,7,2,0,1,4,2,9,3,3,0,0,1
"163",2013,8,1,1,9,9,2,0,2,4,1,0,11
"164",2017,6,5,0,0,0,2,0,9,9,0,9,1
"165",2017,5,9,1,1,4,3,0,1,1,0,0,4
"166",2014,10,3,0,0,4,3,0,2,2,0,0,5
"167",2014,7,1,0,2,1,3,0,3,1,1,0,2
"168",2013,11,1,0,9,4,9,1,2,2,0,0,1
"169",2014,5,1,1,9,9,4,0,3,1,0,0,1
"170",2017,13,1,1,9,9,3,0,2,1,1,0,2
"171",2017,6,2,0,0,0,3,0,2,4,0,0,6
"172",2013,9,3,0,1,2,3,0,2,9,0,1,1
"173",2014,6,1,0,0,9,3,0,1,1,1,1,2
"174",2016,4,9,0,1,2,3,0,1,4,0,0,7
"175",2015,13,2,1,0,4,2,0,2,2,1,0,1
"176",2015,6,1,9,9,9,3,9,9,9,1,1,1
"177",2015,10,2,1,1,1,1,0,2,2,0,0,3
"178",2017,10,1,1,2,0,2,0,2,1,0,0,4
"179",2013,10,2,1,1,1,2,9,2,3,9,9,1
"180",2013,7,1,1,9,2,9,0,3,1,1,1,1
"181",2015,8,6,0,1,9,2,0,2,4,0,0,1
"182",2017,6,1,0,9,1,1,0,3,1,0,0,1
"183",2015,3,1,0,0,3,2,0,1,1,0,0,4
"184",2013,7,9,0,2,1,1,0,3,4,0,0,1
"185",2013,13,1,0,2,4,3,0,2,9,1,0,1
"186",2017,4,2,0,9,0,1,0,1,9,1,9,1
"187",2013,8,6,0,9,9,3,0,2,3,1,0,1
